column,decision,reason,step
id,DROPPED,opaque ID (kept only for the §4.1 dedup),4.1
bookingId,DROPPED,manual: free-text / opaque ID (§ 3.5),3.5
blockId,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
groupName,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
status,KEEP,passed all audit steps,-
travelPurpose,DROPPED,leakage (post-event signal),3.2
source,DROPPED,merged into channelCode (3.0),3.0
property_id,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
property_code,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
property_name,KEEP,passed all audit steps,-
ratePlan_id,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
ratePlan_code,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
ratePlan_name,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
ratePlan_description,DROPPED,manual: free-text / opaque ID (§ 3.5),3.5
ratePlan_isSubjectToCityTax,KEEP,passed all audit steps,-
unitGroup_id,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
unitGroup_code,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
unitGroup_name,KEEP,passed all audit steps,-
unitGroup_description,DROPPED,manual: free-text / opaque ID (§ 3.5),3.5
unitGroup_type,DROPPED,manual: near-constant (§ 3.4),3.4
unit_id,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
unit_name,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
unit_description,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
unit_unitGroupId,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
totalGrossAmount_amount,DROPPED,manual: numeric multicollinearity (§ 3.6),3.6
totalGrossAmount_currency,DROPPED,manual: near-constant (§ 3.4),3.4
adults,DROPPED,subsumed by engineered feature (§3.0.j),3.0.j
childrenAges,DROPPED,manual: near-constant (§ 3.4),3.4
children,DROPPED,manual: near-constant (§ 3.4),3.4
channelCode,KEEP,passed all audit steps,-
primaryGuest_preferredLanguage,DROPPED,leakage (post-event signal),3.2
primaryGuest_address_countryCode,DROPPED,leakage (post-event signal),3.2
primaryGuest_company_name,DROPPED,subsumed by engineered feature (§3.0.j),3.0.j
paymentAccount_paymentMethod,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
paymentAccount_isVirtual,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
paymentAccount_isActive,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
guaranteeType,KEEP,passed all audit steps,-
cancellationFee_id,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
cancellationFee_code,DROPPED,manual: trio duplicate-info (§ 3.3),3.3
